estados,x,y
ACRE,-277.0,86.0
ALAGOAS,307.0,55.0
AMAPA,26.0,276.0
AMAZONAS,-171.0,185.0
BAHIA,208.0,19.0
CEARA,246.0,144.0
ESPIRITO SANTO,231.0,-121.0
GOIAS,45.0,-52.0
MARANHAO,131.0,155.0
MATO GROSSO,-50.0,26.0
MATO GROSSO DO SUL,-63.0,-108.0
MINAS GERAIS,129.0,-92.0
PARA,32.0,171.0
PARAIBA,310.0,98.0
PARANA,11.0,-195.0
PERNAMBUCO,281.0,72.0
PIAUI,193.0,101.0
RIO DE JANEIRO,182.0,-164.0
RIO GRANDE DO NORTE,287.0,123.0
RIO GRANDE DO SUL,-57.0,-273.0
RONDONIA,-177.0,64.0
RORAIMA,-146.0,285.0
SANTA CATARINA,37.0,-236.0
SAO PAULO,55.0,-157.0
SERGIPE,287.0,32.0
TOCANTINS,78.0,41.0
DISTRITO FEDERAL,110.0,-38.0


